CVE_MUN,GM,IM,IMN,Component 1,Component 2
7106,Alto,50.853665914174,0.796297633871962,0.001227806804173683,0.004453651592183908
7107,Alto,51.1558305458545,0.801029111473853,-0.00227705223537313,0.007017773656537894
7108,Medio,53.7093421570287,0.841013549517598,0.00028107963938127394,0.0037949608080494832
7109,Alto,49.1812077809565,0.770109267108421,-0.00039862675648003304,0.0071707389544152286
7110,Alto,50.3962000959717,0.789134355825762,-0.001212672638445392,0.001723409072836543
7111,Muy alto,46.9222208672218,0.734736675929044,-0.01646622268021879,-0.01637486390389358
7112,Muy alto,44.1093576214964,0.690691152234511,0.0012024688938239779,-0.014995542738061501
7113,Alto,49.4393330730197,0.774151149942576,-0.003318439425007096,0.0018528190376057322
7114,Alto,51.4193366673905,0.805155250608916,6.279415617286401e-05,0.002933593764756968
7115,Muy alto,48.6718646044325,0.762133661829946,-0.004984051114941383,-0.013450808666344415
7116,Alto,49.0872296767312,0.768637700787977,-0.0015250733841950562,0.003378320427936137
7117,Alto,50.9137510583727,0.797238483608086,-0.0018290249359021141,0.0017255438346452394
7118,Alto,49.319821722491,0.772279768520293,-0.004359347444080671,0.002425897678708698
7119,Muy alto,47.997792091263,0.751578624397621,-0.0044148806345223205,-0.0002881653891297636
