CVE_MUN,GM,IM,IMN,SOM labels
14031,Alto,49.6121121567291,0.776856629932408,3
14032,Bajo,55.1020742789416,0.862821796245936,2
14033,Muy bajo,56.9801420466151,0.892229723732886,1
14034,Muy bajo,56.6053400806101,0.886360846566703,2
14035,Muy bajo,57.3853356938327,0.898574492329978,1
14036,Muy bajo,58.7912743363854,0.920589534791683,0
14037,Muy bajo,58.650684268875,0.918388089997253,0
14038,Bajo,55.7832171221202,0.873487545206243,2
14039,Muy bajo,60.7642604388961,0.951483751301916,0
14040,Bajo,55.1287492832085,0.863239489688471,2
14041,Bajo,56.41309984568,0.883350632033336,2
14042,Medio,54.5872290457939,0.854760036418085,1
14043,Muy bajo,56.7307347344086,0.88832435233025,1
14044,Muy bajo,58.1843604514573,0.911086108011243,0
14045,Bajo,56.4021063349792,0.883178488955712,1
14046,Muy bajo,58.2101957226458,0.91149065240245,0
14047,Muy bajo,57.690577793034,0.903354158790255,0
14048,Bajo,56.1135908102014,0.878660737372106,1
14049,Medio,53.7635807841454,0.841862850932965,2
14050,Muy bajo,57.5185138592717,0.900659877053303,1
14051,Muy bajo,59.408009890115,0.930246755236486,0
14052,Bajo,56.2586268931912,0.88093180058131,2
14053,Muy bajo,57.7071595290716,0.90361380569938,0
14054,Muy bajo,57.1860330566606,0.895453690406427,2
14055,Muy bajo,58.2058392980785,0.911422436856672,0
14056,Alto,50.6407720750318,0.792964012640782,3
14057,Muy bajo,57.3915315528247,0.898671510858858,2
14058,Muy bajo,58.2255869608959,0.911731657773067,0
14059,Muy bajo,57.8239662753763,0.905442836783583,1
14060,Bajo,56.0956584960145,0.878379942288798,2
14061,Muy alto,31.3056684364792,0.490203198817972,3
14062,Bajo,56.3081326261795,0.881706991461515,2
14063,Muy bajo,58.7587782029387,0.920080690567606,0
14064,Bajo,55.984986616106,0.87664697467431,1
14065,Bajo,56.3239905529311,0.881955304524563,1
14066,Bajo,56.4942336993815,0.884621075266248,1
14067,Muy bajo,59.7578031009193,0.935724030101549,0
14068,Bajo,56.0086274912701,0.87701715787777,1
14069,Medio,54.2105750843677,0.848862159581077,3
14070,Muy bajo,58.6380879319378,0.918190848891459,0
14071,Medio,54.382333089295,0.851551650898241,3
14072,Muy bajo,57.4509303493604,0.899601613345787,0
14073,Muy bajo,58.2880559875209,0.912709835790276,0
14074,Muy bajo,58.2926065820289,0.912781091767094,0
14075,Muy bajo,56.8271336684126,0.889833825475896,2
14076,Medio,53.3819718255399,0.835887385736125,2
14077,Muy bajo,57.5220420237496,0.900715123198791,1
14078,Muy bajo,57.623208743836,0.902299253239039,0
14079,Muy bajo,57.3301783256163,0.897710804707625,0
14080,Bajo,55.3418818201936,0.866576848595669,2
14081,Bajo,55.1148062210707,0.863021160740308,3
14082,Muy bajo,58.7429088079545,0.919832197927995,0
14083,Muy bajo,58.5579720860281,0.916936346243781,0
14084,Muy bajo,57.0865752530436,0.893896319619746,0
14085,Muy bajo,57.512424140821,0.900564520537582,1
14086,Muy bajo,56.5667974647515,0.885757322843098,1
14087,Muy bajo,56.9507872280508,0.891770068128017,0
14088,Muy bajo,57.8511448403694,0.905868415286273,1
14089,Bajo,55.9364394093109,0.875886792980283,2
14090,Muy bajo,56.9529360653482,0.891803715929504,2
14091,Muy bajo,57.1148795594554,0.894339525666331,1
14092,Bajo,56.0448422210952,0.877584230145868,2
14093,Muy bajo,59.1237133258666,0.925795066703137,0
14094,Muy bajo,57.9676593594859,0.907692870499409,0
14095,Muy bajo,57.3013674111292,0.897259665883643,2
14096,Muy bajo,57.0152420497042,0.89277934093169,0
14097,Muy bajo,59.9504294537918,0.938740290704524,0
14098,Muy bajo,60.0936135138161,0.940982353811595,0
14099,Medio,54.0856193248939,0.846905526291835,2
14100,Bajo,55.2807861176981,0.865620174923037,2
14101,Muy bajo,59.6390450844693,0.933864444842503,0
14102,Muy bajo,56.7078140746701,0.887965446698011,2
14103,Muy bajo,56.6318364929324,0.886775743507937,2
14104,Bajo,55.6579100639381,0.87152541106814,2
14105,Muy bajo,57.8106105633017,0.905233704919979,1
14106,Bajo,54.6741648285152,0.856121329784754,2
14107,Bajo,56.2111456884431,0.880188310995758,2
14108,Muy bajo,57.9724592480987,0.907768030074957,0
14109,Bajo,55.7614463904937,0.873146645847854,1
14110,Muy bajo,58.4865609129276,0.915818146657778,0
14111,Muy bajo,57.2541336081359,0.896520050265256,2
14112,Bajo,56.2892011058668,0.881410550200898,2
14113,Bajo,56.2676647535904,0.88107332089694,1
14114,Muy bajo,57.4551970641766,0.899668424161712,1
14115,Medio,53.1203941707621,0.831791443706599,2
14116,Muy bajo,57.6087678929162,0.902073129611335,0
14117,Bajo,55.8449830188748,0.874454713188247,2
14118,Muy bajo,57.4565186639166,0.899689118574337,0
14119,Muy bajo,57.3808090186902,0.898503610897137,0
14120,Muy bajo,60.7295228613102,0.950939809182093,0
14121,Muy bajo,58.4852367080425,0.915797411452207,0
14122,Medio,53.6408216428189,0.83994061362682,2
14123,Bajo,55.6755413433868,0.871801492366406,2
14124,Muy bajo,57.1799967156272,0.895359169706774,1
14125,Muy bajo,57.5154870793624,0.90061248189237,1
15001,Medio,52.7750350397093,0.826383600359423,2
15002,Muy bajo,58.3893321583535,0.914295679676885,0
15003,Medio,52.8398605360553,0.827398677412905,2
15004,Medio,54.0692949876164,0.846649909889065,2
15005,Bajo,55.0208093575604,0.86154930067557,1
15006,Muy bajo,57.9947011427992,0.908116307191354,0
15007,Medio,53.5385848546041,0.838339727808922,2
15008,Medio,52.7637158822957,0.826206358107487,3
15009,Muy bajo,57.8710471579132,0.906180057880446,0
15010,Muy bajo,58.0617527169983,0.909166241525927,1
15011,Muy bajo,56.987059155138,0.892338036025637,0
15012,Muy bajo,57.1814782074509,0.895382367806904,0
15013,Muy bajo,60.0444486219667,0.940212500029267,0
15014,Bajo,56.2588100892081,0.880934669175976,1
15015,Bajo,55.5118857552817,0.869238873620337,1
15016,Bajo,56.316356242488,0.88183576184789,2
15017,Muy bajo,56.7473588228833,0.888584662419596,2
15018,Muy bajo,58.3860933939114,0.914244965133192,1
15019,Muy bajo,58.7882143366636,0.920541619454719,0
15020,Muy bajo,60.9474221057646,0.954351808094313,0
15021,Medio,53.8645161498103,0.843443358284954,2
15022,Muy bajo,57.7209686239134,0.903830036906132,0
15023,Muy bajo,58.455142130742,0.915326172255072,0
15024,Muy bajo,60.4532758786705,0.946614165893927,0
15025,Muy bajo,57.8421149495718,0.905727019763511,0
15026,Medio,54.4480212259194,0.852580235697924,1
15027,Muy bajo,58.6309456024267,0.918079009951478,0
15028,Muy bajo,57.6703008675651,0.903036650357327,1
15029,Muy bajo,58.9428380369801,0.922962811407928,0
15030,Muy bajo,58.4280052369662,0.91490124626565,0
15031,Muy bajo,57.8019731893664,0.905098455665006,0
15032,Alto,51.3089834194411,0.803427272327458,2
15033,Muy bajo,59.5106884993079,0.931854559356007,0
15034,Bajo,56.2483861797893,0.880771445261698,0
15035,Muy bajo,59.1562287026604,0.926304212251249,0
15036,Muy bajo,56.8907355104959,0.890829741806615,1
15037,Muy bajo,59.1984328386694,0.926965070284578,0
15038,Bajo,56.2872796236821,0.881380462464061,2
15039,Muy bajo,58.9256262064893,0.922693298096586,0
15040,Bajo,56.3260722540851,0.88198790106748,1
15041,Alto,52.0516377992046,0.815056206343512,3
15042,Bajo,55.2078652199439,0.86447833515008,1
15043,Muy bajo,56.7539379499164,0.888687682392594,1
15044,Muy bajo,59.7375364167683,0.935406682033405,0
15045,Bajo,55.0822462011482,0.862511316142933,2
15046,Muy bajo,56.5783783767566,0.885938663807648,2
15047,Bajo,54.7573328375386,0.857423625059021,2
15048,Bajo,56.4647966957885,0.88416013275821,1
15049,Bajo,55.6149598163669,0.87085286996613,1
15050,Muy bajo,57.0456403746941,0.893255336394908,0
15051,Muy bajo,59.3077941296522,0.928677515900469,0
15052,Bajo,54.637655843971,0.855549649897278,2
15053,Muy bajo,58.6452834522869,0.918303520725938,0
15054,Muy bajo,60.4466812707242,0.946510903511373,0
15055,Muy bajo,58.8696477501044,0.921816753376243,0
15056,Alto,51.6659987825431,0.809017636046249,3
15057,Muy bajo,59.5112241221154,0.931862946463733,0
15058,Muy bajo,59.4154480130066,0.930363225889144,0
15059,Muy bajo,58.3600958496088,0.91383787977086,0
15060,Muy bajo,58.6036528944795,0.917651644128983,0
15061,Muy bajo,56.8356593550787,0.889967325863672,2
15062,Muy bajo,58.6971613524029,0.919115856441957,0
15063,Bajo,54.6187612306828,0.8552537865493,2
15064,Bajo,54.8532153000352,0.85892501097965,2
15065,Muy bajo,56.9895755168096,0.89237743874733,1
15066,Medio,54.0222446615773,0.845913167264433,3
15067,Muy bajo,56.7050122684209,0.887921574311495,1
15068,Bajo,56.085230128654,0.878216648569357,1
15069,Muy bajo,57.8103765235517,0.905230040183214,2
15070,Muy bajo,57.4383444491744,0.899404535664992,0
15071,Bajo,56.0249551539035,0.877272826350985,2
15072,Muy bajo,58.2675633844705,0.912388950146586,0
15073,Muy bajo,59.7193742662461,0.935122288032956,0
15074,Alto,52.2588255953042,0.818300478881891,2
15075,Muy bajo,57.7114697877946,0.903681298352284,1
15076,Muy bajo,58.9621005848408,0.923264436099248,0
15077,Medio,53.8550805696197,0.843295610230908,2
15078,Bajo,54.9656106906239,0.860684966372737,2
15079,Bajo,55.7048560989425,0.872260520640315,1
15080,Alto,51.6389489230125,0.808594072891978,3
15081,Muy bajo,60.1165617134056,0.941341690679571,0
15082,Medio,54.033257350005,0.846085610638571,1
15083,Muy bajo,56.9616908510154,0.891940803688793,1
15084,Muy bajo,56.8659783014653,0.890442078368436,1
15085,Bajo,54.6960360215221,0.856463802228545,1
15086,Medio,52.9101554133334,0.828499397359907,3
15087,Bajo,55.6308545631773,0.871101759580056,1
15088,Bajo,56.3096708080365,0.881731077248669,1
15089,Muy bajo,57.6397975884192,0.902559011458094,1
15090,Muy bajo,56.7073643694487,0.88795840494011,0
15091,Muy bajo,58.8909145602834,0.922149762026085,0
15092,Muy bajo,58.2626334105002,0.912311753615381,0
15093,Muy bajo,57.1654846883447,0.895131931556288,1
15094,Bajo,56.3165283563294,0.88183845691111,0
15095,Muy bajo,58.1570885980362,0.910659068741602,0
15096,Muy bajo,58.5875685555793,0.917399785766791,0
15097,Medio,53.5437211461746,0.838420154986608,2
15098,Muy bajo,58.6034447832486,0.917648385396741,0
15099,Muy bajo,57.6734713635661,0.903086295912242,0
15100,Bajo,55.8593612094664,0.874679855642416,0
15101,Muy bajo,57.0256828517235,0.892942829360583,1
15102,Bajo,55.5768463252931,0.870256065739432,2
15103,Muy bajo,59.0269357545096,0.924279664623501,0
15104,Muy bajo,60.0298154572752,0.939983365035547,0
15105,Alto,52.1900800672599,0.817224019587621,3
15106,Muy bajo,59.2839719834847,0.928304494245375,0
