CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,rbf Component 1,rbf Component 2,cosine Component 1,cosine Component 2,sigmoid Component 1,sigmoid Component 2
20022,Medio,53.5573084083406,0.838632912602388,0.0027314162885048662,-0.007799797807353814,-0.007876107377004444,-0.025402107529194532,0.006223930688928005,-0.02957283973543646,0.00383083152802144,-0.013042407637904783
20023,Alto,52.2434812009097,0.818060207020858,-0.0005728517872700261,0.03863302335682642,-0.0019035872394523373,0.022615061667248346,-0.0029425041752762877,0.025071613981816152,-0.003959981123487658,0.058407987508698314
20024,Alto,49.1341171361685,0.769371893148291,0.027843776325484775,-0.01916754044811065,-0.028315460950158793,0.024861088278237613,0.02829734688385786,0.0025128008359515484,0.031014376253681666,-0.022887028209714538
20025,Medio,53.6924403727217,0.840748891097995,-0.0003239455079760051,0.0132590947783648,0.00037169150214245815,0.014059907844417215,-0.0012141071362928892,0.03773893025747132,-3.360338877583716e-05,0.045762886806793204
20026,Alto,52.2214633481974,0.81771543809019,0.010081002635782509,-0.007258408457314395,-0.02207990934578403,-0.012073286612923954,0.023571311055628815,-0.0037138706982812694,0.011351949545925423,-0.0006892687943730355
20027,Alto,49.0854309662761,0.768609535485561,0.02624697081689702,-0.018585124538278517,-0.026764737936805415,0.02265321108112308,0.026986099404617846,-0.0002711305088447464,0.02909424405459457,-0.025456472607264774
20028,Alto,51.7203855917761,0.809869257787328,0.013605590206519812,0.0035174820495056116,-0.022237940393213976,0.009889227100913462,0.021547861342023758,0.02883833482433731,0.01330609160306528,0.02188771911644733
20029,Muy alto,47.9189906835789,0.750344704023217,0.03282866626558314,-0.013575542700504071,-0.026521462518027318,0.032405218928624156,0.029214376375569392,0.008480379397796337,0.03495627884818276,-0.015955013012143124
20030,Muy bajo,58.9714012676972,0.92341007184878,-0.02905643245397669,0.01844066088770869,0.023589399282814432,0.03220415566505402,-0.025465147700092457,0.016066701827023033,-0.030890278552623038,0.020968959182419807
20031,Alto,50.8077075578229,0.795577989972921,0.01764440287184391,-0.01260101499817039,-0.026363300558136692,0.01325789813203167,0.023352189289423588,8.256873002495563e-05,0.018371438316048486,-0.01431064753809765
20032,Alto,49.7147578829851,0.778463919150901,0.01928318487898087,-0.008632048901269606,-0.02357543356970966,0.009540070363439209,0.02328643018154544,-0.0029878710794248808,0.02137344285288096,-0.01407840713595116
20033,Muy bajo,57.039077308998,0.893152567920094,-0.0156630727664977,-0.01231236340457917,0.020428805726469428,-0.016413276114190616,-0.019745775302092188,-0.027167568658858072,-0.017833463482149568,-0.026576460054791966
20034,Medio,53.5983944392237,0.839276262665542,0.004678769735301581,-0.023781579517446815,-0.015620559035431563,-0.024883842008719657,0.01353112888961705,-0.030821508167123406,0.006624263781589747,-0.027549806741092125
20035,Muy bajo,58.3074890662247,0.913014130757266,-0.02348328480974499,-0.009748898470189378,0.021531972439822494,0.002946821098203825,-0.022096936635905215,-0.02013723850764952,-0.026966436127321306,-0.02936261301479726
20036,Alto,51.4617247633691,0.805818989199346,0.016725844754927503,-0.01709841654804036,-0.032522815610029614,-0.0013939717649989304,0.02865487382261687,-0.007451126593430405,0.019266648617861034,-0.01843574778709334
20037,Alto,49.398571498117,0.773512880408525,0.024679817241526143,-0.006548578060562996,-0.03241618269028726,0.016775672151891786,0.029743488394089627,0.001987462735043312,0.026278118471705265,-0.0159826536173205
20038,Alto,51.4303754229554,0.805328102158145,0.016669755934249467,-0.01574626877187613,-0.030949195217516788,-0.0006453171432850601,0.027433868683261448,-0.009292298512466303,0.018859414111193552,-0.020580746574881643
20039,Muy bajo,56.8521328652982,0.890225278107105,-0.01641281655055842,0.009196849527224476,0.031046960304385873,0.005880589437933636,-0.02742241013564636,0.020809333919855132,-0.016389600687025576,0.018302935169941182
20040,Muy alto,43.5287807792635,0.681600126888746,0.04908557173998786,0.008717415557039416,-0.009843886665542008,0.03136109490517805,0.02745641728190555,0.020193069555641163,0.048510759623299524,0.0171049719335798
20041,Muy alto,47.7315580287063,0.747409769502719,0.028946543171554807,0.013876769140714484,-0.020584087591998,0.03353664624629904,0.024398408256410174,0.030799542388845552,0.02705128872759463,0.03576044530340732
20042,Medio,54.4054205882527,0.851913169000458,0.0018876998305555033,-0.01301360354250997,-0.008851934806006285,-0.01513329618164395,0.007090523096577843,-0.009231559735053314,0.0027211511102195572,-0.005954060265890638
20043,Bajo,56.3006741044853,0.881590201392,-0.012923409052013895,0.013344963792428928,0.019446360482497153,0.013496189036541002,-0.017537779041398797,0.033944680653710604,-0.011325830460639884,0.031467742318251196
20044,Bajo,55.2200491214133,0.864669118090444,-0.0048616981294229596,0.0006037780946513467,0.009112496876454006,-0.0065880197642351306,-0.010372252587584752,0.03101061971884823,-0.003780963296057332,0.017528341667269087
20045,Muy bajo,57.450212015802,0.899590365241985,-0.018748341475831997,-0.006042989466785045,0.021857366112971347,-0.002759535057250073,-0.020840264022628497,-0.016738238690254533,-0.020947064177645892,-0.01742711699049803
20046,Alto,52.2477761719831,0.818127460290446,0.00934616068545204,-0.011306519382289512,-0.01909711500666024,-0.011847923124851565,0.018159609156585484,-0.01155572886729635,0.011179349018362945,-0.00904281962381498
