CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,linear Component 3,rbf Component 1,rbf Component 2,rbf Component 3,cosine Component 1,cosine Component 2,cosine Component 3,sigmoid Component 1,sigmoid Component 2,sigmoid Component 3
21018,Medio,53.0098451639598,0.830060400113947,0.007992300896053696,-0.01530284515149381,0.0037236524455921335,-0.021139281764324717,-0.025130499227034853,0.005181548828567107,0.023208847692628345,-0.022825296050605494,-0.009969712979379137,0.010313270417225025,-0.011654521438294171,0.001687084578335914
21019,Muy bajo,56.6300587438743,0.886747906431826,-0.013654541214009837,0.005181179902107351,-0.012079549860825347,0.02323008911995798,-0.0016037253986440295,0.03406073894392784,-0.022812665592651063,0.02061258028160014,-0.01935052504918805,-0.013242123174912045,0.013503396402540111,-0.022314757460350537
21020,Bajo,55.4476964443985,0.868233758345806,-0.0017443018095072845,-0.004317455973002165,-0.022173740292870045,-2.675318729006056e-05,0.005535674241886835,0.04435716622341543,-0.0006186272942715464,0.030502064426203217,-0.04228704397040867,-0.0007801869961481141,0.024481585834137558,-0.05573018382219359
21021,Medio,54.4000316806716,0.851828786207618,0.0013180692853758233,-0.019930460952512115,0.006897403972172181,-0.009523101155802207,-0.030945953153157416,-0.002361985488774517,0.008009895227120502,-0.030960296209948408,-0.019467038516135734,0.0027417661986572643,-0.019279231229637525,-0.008675169705885695
21022,Medio,52.8577526622273,0.827678843207831,0.010955070715211217,-0.01893067099426583,-0.0020195653891383267,-0.025966335324634826,-0.015243977855198656,0.007485766511786741,0.024279962215946378,-0.013769297265299291,-0.026211438822056544,0.013653304023401775,-0.015146256200844841,-0.013041472229252957
21023,Alto,51.6710467294333,0.809096679869192,0.01725027083528368,-0.01896387286946689,-0.014361901842413122,-0.029262041185834704,0.005336099352095309,0.013615633579361033,0.02567815353552999,0.002682099093622439,-0.024685565648548846,0.020525609490253498,-0.00879608170079717,-0.025333509849822394
21024,Medio,52.9334144043466,0.828863600789042,0.006381182184276172,-0.018975931997060148,0.005838022862558472,-0.016805414871431168,-0.01950338156672374,-0.016209097175364964,0.015032743863810533,-0.02598435619162748,0.0006221278381365401,0.008331598615821136,-0.022503463975543418,0.011724309931630488
21025,Alto,52.4809312517531,0.821778344351773,0.009103459869750443,-0.0065004254446227785,0.003560196231990108,-0.021137219519985057,-0.017254584088426103,0.010232885038367964,0.023932458803363095,-0.009833653960841805,-0.002738077520636364,0.010317547428396396,-0.0028014053781547084,0.0053114672963778635
21026,Medio,54.3971809246484,0.851784147335764,0.001388132450485028,-0.009718033530726587,-0.01404919872829378,-0.006700440352248107,-0.013562652286973174,0.04146942189771543,0.006825010085791014,0.018970547936052063,-0.05182482407005718,0.0024880585925753903,0.008549877569982687,-0.03395159247277361
21027,Alto,51.4001884026317,0.804855415431923,0.014411914871383805,-0.0045887661997971885,0.01152998531283083,-0.024419224130631693,-0.007921457686641011,-0.002889338560467849,0.023626944010271055,-0.011291789559475794,0.0065476296349781206,0.015939897148456676,-0.01296237210493316,0.01338422686473241
21028,Alto,50.5804835068056,0.792019977567497,0.020699709041181936,-0.0186821393841487,-0.014222306454917477,-0.032708036822774025,0.01186004766412484,0.0007277259163391413,0.028195336507028233,-0.0006209448257057967,-0.022441480312239668,0.02332935144610761,-0.018103941157909673,-0.01831413350459966
21029,Alto,51.9724859516312,0.813816798568157,0.01202486334905905,-0.014615622233044964,-0.009186493900350659,-0.025287441672193954,-0.0030045041204621297,0.011974793264180212,0.022508178461718435,-0.0003521417591169275,-0.018575549141515203,0.013720038390602523,-0.005895200295617523,-0.013459190890486744
21030,Alto,52.1095095359018,0.815962397198618,0.012512092621139167,-0.026876325194140238,-0.011071523006485121,-0.02525357513612285,-0.0008235296883964862,-0.004570133378580714,0.02105231559023067,-0.011234753083937616,-0.026589361278473677,0.014826906027156772,-0.027034259110974398,-0.0235083104841829
21031,Alto,51.7659977442594,0.810583480615621,0.014663949056129812,-0.020070564088349046,0.0032093117024075356,-0.02829101557286542,-0.008038338875603927,-0.0064699872817186865,0.02527265237247862,-0.016846990780878136,-0.017453043044586176,0.017770072934271686,-0.025376711858477285,-0.004398425554032444
21032,Medio,53.0128090307625,0.830106810143189,0.005058084912670535,-0.014359516533372408,0.01136173856893048,-0.013590263947789031,-0.02204183226229569,-0.018764615534251322,0.012476500474084247,-0.028951581439832022,0.010566814623642748,0.006626476698708112,-0.01880946143451249,0.02006946103998113
21033,Medio,52.7507256236087,0.826002948735323,0.008001200437440226,-0.005848177357942502,0.00734483326597196,-0.01623909246477741,-0.01521499281955274,0.012486318107379327,0.016100043929470193,-0.005801019352799736,0.010243179833057899,0.009704680826820583,0.0031047404099739627,0.008474588592355283
21034,Muy bajo,57.2454447252674,0.896383994452075,-0.018377770751156108,0.008918846370611806,-0.006290598112876277,0.028849512286687473,0.01225201139988913,0.024291931845695856,-0.02466299445215194,0.021141828397628817,0.005188392562741098,-0.01932089634699483,0.02160932630650987,0.002080639337583453
21035,Medio,53.8094186931408,0.842580608794046,0.003135533100347028,-0.006110600414525556,-0.012866848791662423,-0.009537835033179452,-0.011505327599518878,0.0256490154976921,0.009942977694882489,0.012880307441208272,-0.02218797097214635,0.004000720228086585,0.0093461468287563,-0.014185493350082606
21036,Muy alto,48.7013538573463,0.76259542248963,0.030503609956331168,-0.01556966278147578,-0.027441167535852094,-0.031121287110135676,0.029382601503675547,-0.00497369398582613,0.030744441206868856,0.009188759914126056,-0.0127055532664817,0.03350962421817666,-0.012298481086671444,-0.020319979565132505
21037,Medio,54.1620183462901,0.848101828640433,6.364604093775908e-05,-0.014847080335235933,0.009653313689010387,-0.005497656741270645,-0.03192495990821655,-0.013600397031409,0.004736581752841018,-0.040157681037883676,-0.002550564194423813,0.0011905173839188946,-0.017046593689737585,0.0063588922656773236
21038,Medio,54.3849044139687,0.851591914264053,0.00047529919502367315,0.0027668084945070485,-0.01815683703070664,-0.001793026670727101,0.004195921361962323,0.04210405822306955,0.0012674194843386073,0.033483176620226256,-0.011278347461438683,0.0013047676902648248,0.0340503446598532,-0.02167246116777634
21039,Alto,52.3645541675925,0.819956041178775,0.01068770526303283,-0.013724912690218354,-0.002261068323307277,-0.026013318733041402,-0.015477233821789954,0.008619139194864992,0.02684223350536616,-0.012066987545178503,-0.01836097614767835,0.012534185402439134,-0.00981759162764292,-0.0045868693197052
21040,Alto,52.1250668465823,0.816206003032368,0.00797535943304089,0.005675590271994532,0.00977521821239776,-0.013606126582055077,-0.008491099656617663,0.010817712020020255,0.013975690066874198,0.004615617532411816,0.04378011095399155,0.008307406366531715,0.0145707796103805,0.02689111622050542
21041,Muy bajo,59.89073263479,0.937805521600541,-0.033964932120818254,0.014306644137696176,0.00038631362077519237,0.030936101444649915,0.03357775743153175,-0.010671399878705787,-0.029286449396245823,0.009888759682813714,0.004690191866194919,-0.036412859634864646,0.005370385956798711,0.006105235228272755
21042,Alto,51.1131835520234,0.800361318903368,0.014381011936365238,-0.012042480330184582,-0.0032448509104490075,-0.02706620117489561,-0.006135876115609519,0.0010090623568979034,0.025913566906825718,-0.0072889168350394485,0.012836664644389328,0.016637339272992487,-0.010663316687517521,0.010803713329228939
21043,Alto,51.0030473295445,0.798636738938739,0.01578672001790707,0.0014102413203416393,-0.003960031178070892,-0.02830609128949251,0.0006864816739581273,0.023126893446731127,0.027873460914940706,0.013202535350203807,-0.0028831852778621386,0.016593157035628452,0.010702583014020274,-0.006051835989335334
21044,Medio,54.473680688158,0.852982027165653,0.0009755259422604641,-0.01761900723723106,0.0013441307132764499,-0.009033497492005917,-0.025118696449383766,0.0089262512419247,0.007260569696794467,-0.018299265705242058,-0.02199648744945883,0.0020927673196779184,-0.011760292832362833,-0.017788367798662625
21045,Bajo,55.4129914502671,0.867690326437535,-0.005082920288520188,-0.0067603323051459345,-0.010971009687597882,0.006514438785518572,-0.015033516181296886,0.040499128963952684,-0.008921385367789539,0.017176017534762462,-0.045823112888008076,-0.004531150328153656,0.0074355805431711875,-0.035203466013692626
21046,Bajo,54.8380303344335,0.858687235551631,0.00034657880261420904,-0.003978096224609075,-0.016389349957465573,-0.00273955279346525,-0.0005668891181099216,0.048118668491509704,0.002189354357743343,0.029198482412634848,-0.04368724228366545,0.0015157493919158518,0.022715484881024886,-0.04288676401816545
21047,Medio,54.4930818566327,0.853285822462866,-0.002854264152344695,0.0016925710755727266,-0.006038755762568386,0.006532584010042175,-0.014543163919873417,0.03635339187777465,-0.011320743577237712,0.03172731398619916,-0.0036209113877390883,-0.0018783263429434519,0.018794694121321877,-0.001052150286509201
21048,Bajo,55.8221847637757,0.874097724242307,-0.00574445573860866,-0.009928746827900485,-0.0026766142188046197,0.007307886513430885,-0.020482898777318653,0.024295104550850793,-0.009941243651227293,-0.0013080138640407582,-0.03655789400421804,-0.005547733544792985,-0.00122477894958805,-0.025409881976950578
21049,Alto,48.8917765580963,0.765577176967245,0.030672795958654683,-0.013855936956618214,-0.03748641928691846,-0.024773015697107152,0.032925056320136065,-0.007053040338625412,0.027471580710431705,0.014450003498232573,-0.01695848114439485,0.03251111441743453,-0.0015848817895488595,-0.034051499068014426
21050,Alto,49.2873160008827,0.771770774158948,0.026616794405672082,-0.004529477997552151,-0.03186609802330462,-0.02864625829827777,0.028307125837276025,0.0008019104182078714,0.028194617759015668,0.017655276562454074,0.0013277374292816765,0.027663110757226765,0.006809697976930996,-0.010345120065417004
21051,Bajo,55.0571097383883,0.862117714119169,-0.0036265077317151327,-0.00727405009032267,-0.004891386764597319,0.00450156778580795,-0.02238581707331404,0.026681146205415514,-0.008862780158512705,0.002335059956118414,-0.04515095041010401,-0.0028461212195507344,0.002285346330954038,-0.01710190348474293
