CVE_MUN,GM,IM,IMN,Perplexity 100 Component 1,Perplexity 100 Component 2,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 400 Component 1,Perplexity 400 Component 2
7071,Alto,52.1712242149923,0.816928763183282,4.0190787,9.237077,0.6232386,-6.4170747,3.2697535,3.607823,4.846487,0.4839628
7072,Alto,50.3948368506767,0.789113009301705,24.149696,-3.2671213,14.188589,-4.40468,11.320832,-2.464395,9.030845,-2.3138769
7073,Alto,51.4744684222445,0.806018537161661,5.0753727,10.835046,-0.3984321,-8.210133,3.1825554,5.008716,2.5114412,3.7270372
7074,Bajo,56.2836431212427,0.881323519896874,-9.703574,12.48223,-9.211013,-2.849109,-5.0195284,4.65104,-4.217416,3.5210278
7075,Alto,50.0594556971995,0.783861407196758,23.092138,1.0082562,11.774659,-6.569304,10.840768,0.0524511,8.346013,-0.28760374
7076,Alto,48.9361378462015,0.766271813000236,25.702168,-3.5602298,14.278548,-5.0530005,11.398518,-1.9389551,9.13884,-1.9165117
7077,Muy alto,48.0926829231702,0.753064482763297,22.969492,-3.3656213,13.707103,-4.923969,11.055952,-1.887584,8.98143,-1.8431358
7078,Bajo,55.8329040362097,0.874265573130339,-12.272382,12.792395,-10.618617,-4.2971263,-6.214368,6.6469927,-5.0855536,5.1123524
7079,Medio,53.246705867343,0.833769309083845,2.8977685,9.883067,-0.8991675,-6.46072,2.1904194,3.9664452,1.7966194,2.3877
7080,Alto,50.8504760253906,0.796247684653064,20.246008,-5.7441382,12.279684,-2.463444,9.357492,-2.820248,7.431753,-2.4455922
7081,Muy alto,48.6987056909843,0.762553955889921,24.5029,-3.4191732,14.909222,-4.465758,11.87133,-2.6922054,9.497825,-2.4892976
7082,Muy alto,35.9017299159572,0.562171125130602,28.940971,6.042616,17.209574,-10.100951,15.01508,0.47733694,11.39727,1.1947975
