CVE_MUN,GM,IM,IMN,Perplexity 200 Component 1,Perplexity 200 Component 2,Perplexity 200 Component 3,Perplexity 300 Component 1,Perplexity 300 Component 2,Perplexity 300 Component 3,Perplexity 400 Component 1,Perplexity 400 Component 2,Perplexity 400 Component 3
7037,Alto,52.5506286011626,0.822869707843947,0.8438293,-1.7912884,2.8940253,0.66391844,-2.8855517,0.14467202,0.3562273,-1.8591176,1.4896463
7038,Muy alto,48.5315608456366,0.759936700231522,5.7258587,-2.272772,2.3146985,5.218571,-2.9022794,0.27828443,4.9690714,-1.7352543,-0.06508839
7039,Alto,48.9210111099177,0.766034949362297,7.2426996,-3.0951939,0.5399945,6.200643,-1.7200464,1.608203,5.125309,-1.1533147,1.9194622
7040,Medio,54.488482551691,0.853213803748449,-1.7596306,-1.7451645,2.1271963,-1.1542856,-1.9356099,0.90571666,-1.1771638,-0.95063233,1.6414692
7041,Alto,52.2893584036738,0.818778580167671,4.876602,-0.8838561,-3.0631654,2.8899436,-0.45748055,1.45655,2.7383413,0.5798754,1.2640957
7042,Medio,52.9477110108393,0.829087465749765,4.4234037,-0.74580497,-1.6281588,3.3308163,0.01827605,0.18378106,2.4471962,0.31377074,0.64561564
7043,Medio,53.4659644235862,0.837202592926888,-0.6582506,-2.5590608,1.135554,-0.08887346,-2.1458914,0.99405634,0.17484066,-0.99818623,1.719568
7044,Alto,51.6527299008629,0.808809863825778,5.4481516,-2.862343,-0.97252196,3.9382055,-1.6080027,1.5848789,3.2982059,-0.6708625,2.0231838
7045,Alto,51.0570492659982,0.79948233410773,5.248742,-2.1496005,-0.7589508,4.4335027,-1.0422331,0.6069733,3.3782828,-0.5687895,1.3833717
7046,Medio,53.4321289661094,0.83667277675247,0.37569293,-1.2533816,1.4704039,0.78606784,-1.1478282,0.40442795,0.5500231,-0.49101782,0.7663411
7047,Alto,52.5191148773229,0.822376246787071,5.0119343,-2.4258246,-1.7735835,3.1429262,-1.2229124,1.3765407,2.5622618,-0.41494456,1.8119886
7048,Medio,53.716152579478,0.841120191254916,0.48480713,-0.84953326,2.4098005,0.36844254,-1.9430649,0.14575046,-0.15623893,-1.0292275,0.8933871
7049,Alto,50.5089646729303,0.790900092163596,6.3643746,-3.1730497,-1.6915667,4.3518157,-1.7851628,2.5692718,3.9945962,-0.4142197,2.6396537
7050,Medio,52.6928205936953,0.825096236554786,2.2347956,0.089722656,0.5876868,2.2136607,-1.2673302,-1.1059,2.286085,-0.4940602,-1.8435142
7051,Medio,53.0837629810148,0.831217850255717,0.6971336,-1.1730701,2.2159722,0.9751373,-1.9363971,0.52620345,0.450778,-0.90760666,1.2357806
7052,Alto,49.1299085992887,0.769305993317883,5.49424,-1.9979551,2.2377248,4.8686066,-2.963965,0.35481778,4.899033,-1.6110122,-0.24470651
7053,Alto,52.5462404399952,0.822800995347181,3.8055055,-0.57806766,-2.0559068,3.452344,-0.14205408,-0.66653943,2.318377,0.13490115,0.38647217
7054,Alto,52.3810255780799,0.820213960543325,1.2576156,-1.7961286,1.962765,1.5132024,-2.0932617,0.19376995,1.3021954,-1.1519438,0.9005611
7055,Medio,53.7172061335794,0.841136688445886,2.1279843,0.7696531,0.6624421,1.7914866,0.6454904,-2.261754,1.0016365,-0.28703612,-1.8054183
7056,Muy alto,45.5708330998031,0.713575824252094,7.598375,-2.0183482,2.2510664,6.108657,-3.1449282,1.9524686,6.24852,-1.267978,0.47417942
7057,Medio,53.0043935129513,0.829975034846356,0.2832906,-3.0599632,1.9919777,1.3346378,-1.8434131,1.4653523,1.3605157,-0.7116722,1.8776618
7058,Alto,51.4857630626166,0.806195395510849,6.1100183,-3.0752878,-1.7348937,4.1887546,-1.6577948,2.4403963,3.7451186,-0.36143106,2.545255
7059,Muy alto,47.0642589778532,0.736960795063471,6.459682,-4.2425137,1.2546971,6.745983,-2.400541,0.6258371,4.9871306,-2.39707,1.5412816
7060,Alto,48.7983796549241,0.764114711446422,7.5595326,-3.5989687,-0.2876573,5.8116717,-2.1649523,2.5366552,5.324495,-0.891931,2.349085
7061,Medio,52.7896289931032,0.826612121358794,0.30345,-2.7946277,1.9640725,0.99970776,-2.077796,1.3285075,1.0310011,-0.9759051,1.8776175
